FIPS_Combined,state,county,slope_reports_per_year,observed_2017_reports,forecast_2020_reports,forecast_threshold,in_sample_mae,in_sample_r2
21217,KY,TAYLOR,-0.142857,43.0,43.57,watch,6.5,0.0018
42061,PA,HUNTINGDON,-2.154762,69.0,43.37,watch,12.1637,0.1172
21143,KY,LYON,3.428571,26.0,43.29,watch,4.8214,0.6636
21141,KY,LOGAN,3.035714,31.0,43.11,watch,3.6339,0.7774
21083,KY,GRAVES,0.821429,32.0,42.96,watch,8.4821,0.03
21185,KY,OLDHAM,-0.452381,50.0,42.81,watch,7.8869,0.0136
21089,KY,GREENUP,-4.785714,34.0,41.64,watch,15.6429,0.2867
54051,WV,MARSHALL,-2.238095,17.0,41.2,watch,26.0982,0.0266
39065,OH,HARDIN,-16.178571,84.0,40.46,watch,20.2589,0.7215
51065,VA,FLUVANNA,3.035714,23.0,39.86,watch,9.1875,0.2767
21041,KY,CARROLL,-5.761905,52.0,39.8,watch,21.6518,0.212
21059,KY,DAVIESS,-1.345238,19.0,39.63,watch,12.0357,0.0466
51011,VA,APPOMATTOX,3.869048,27.0,39.27,watch,4.1964,0.6902
51077,VA,GRAYSON,2.357143,42.0,39.07,watch,7.4821,0.2933
21029,KY,BULLITT,-10.464286,79.0,38.86,watch,11.9018,0.7341
51155,VA,PULASKI,-19.154762,111.0,37.62,watch,15.2411,0.872
39163,OH,VINTON,-0.5,11.0,37.5,watch,14.25,0.004
54031,WV,HARDY,1.25,8.0,36.75,watch,11.6429,0.034
21103,KY,HENRY,2.75,18.0,36.75,watch,5.0,0.4706
54083,WV,RANDOLPH,2.427536,9.0,35.44,watch,10.0642,0.1863
21047,KY,CHRISTIAN,-1.880952,23.0,34.52,watch,13.1726,0.0456
21167,KY,MERCER,-0.821429,39.0,34.29,watch,19.6964,0.0069
54099,WV,WAYNE,0.571429,26.0,34.21,watch,10.9821,0.0093
51710,VA,NORFOLK CITY,-5.845238,80.0,34.13,watch,63.7976,0.0297
51149,VA,PRINCE GEORGE,0.607143,40.0,33.57,watch,9.25,0.0138
